vitrine         quadro                           tema    tamanho                   fora-do-antialias/diferentes/total  maior Δ  veredito                      
--------------  -------------------------------  ------  ------------------------  ----------------------------------  -------  ------------------------------
cromo           login                            claro   1392x900                  0/0/1252800                         0        ok (zero)                     
cromo           auth-confirmar                   claro   1392x900                  0/0/1252800                         0        ok (zero)                     
cromo           app-header                       claro   1392x56                   0/0/77952                           0        ok (zero)                     
cromo           viewer-header                    claro   1392x56                   0/0/77952                           0        ok (zero)                     
cromo           acesso-form                      claro   1392x900                  0/0/1252800                         0        informa (não mudou)           
cromo           rodape-sidebar                   claro   1392x82                   35/42/114144                        119      informa (mudou, como esperado)
cromo           sidebar-lateral                  claro   1392x420                  0/0/584640                          0        ok (zero)                     
cromo           versoes-rodape                   claro   1392x33                   0/0/45936                           0        informa (não mudou)           
cromo           marca-sobre-popover              claro   1392x51                   0/0/70992                           0        ok (zero)                     
cromo           nao-encontrado                   claro   1392x900                  0/0/1252800                         0        ok (zero)                     
cromo           (foto inteira)                   claro   1440x5264                 70/84/7580160                       119      informa (foto inteira)        
cromo           login                            claro   342x844                   0/0/288648                          0        ok (zero)                     
cromo           auth-confirmar                   claro   342x844                   0/0/288648                          0        ok (zero)                     
cromo           app-header                       claro   342x56                    0/0/19152                           0        ok (zero)                     
cromo           viewer-header                    claro   342x56                    0/0/19152                           0        ok (zero)                     
cromo           acesso-form                      claro   342x844                   0/0/288648                          0        informa (não mudou)           
cromo           rodape-sidebar                   claro   342x82                    35/42/28044                         119      informa (mudou, como esperado)
cromo           sidebar-lateral                  claro   342x420                   0/0/143640                          0        ok (zero)                     
cromo           versoes-rodape                   claro   342x33                    32/47/11286                         134      informa (mudou, como esperado)
cromo           marca-sobre-popover              claro   342x51                    0/0/17442                           0        ok (zero)                     
cromo           nao-encontrado                   claro   342x844                   0/0/288648                          0        ok (zero)                     
cromo           (foto inteira)                   claro   390x5056                  67/89/1971840                       134      informa (foto inteira)        
cromo           login                            escuro  1392x900                  0/0/1252800                         0        ok (zero)                     
cromo           auth-confirmar                   escuro  1392x900                  0/0/1252800                         0        ok (zero)                     
cromo           app-header                       escuro  1392x56                   0/0/77952                           0        ok (zero)                     
cromo           viewer-header                    escuro  1392x56                   0/0/77952                           0        ok (zero)                     
cromo           acesso-form                      escuro  1392x900                  0/0/1252800                         0        informa (não mudou)           
cromo           rodape-sidebar                   escuro  1392x82                   35/42/114144                        135      informa (mudou, como esperado)
cromo           sidebar-lateral                  escuro  1392x420                  0/0/584640                          0        ok (zero)                     
cromo           versoes-rodape                   escuro  1392x33                   0/0/45936                           0        informa (não mudou)           
cromo           marca-sobre-popover              escuro  1392x51                   0/0/70992                           0        ok (zero)                     
cromo           nao-encontrado                   escuro  1392x900                  0/0/1252800                         0        ok (zero)                     
cromo           (foto inteira)                   escuro  1440x5264                 70/84/7580160                       135      informa (foto inteira)        
cromo           login                            escuro  342x844                   0/0/288648                          0        ok (zero)                     
cromo           auth-confirmar                   escuro  342x844                   0/0/288648                          0        ok (zero)                     
cromo           app-header                       escuro  342x56                    0/0/19152                           0        ok (zero)                     
cromo           viewer-header                    escuro  342x56                    0/0/19152                           0        ok (zero)                     
cromo           acesso-form                      escuro  342x844                   0/0/288648                          0        informa (não mudou)           
cromo           rodape-sidebar                   escuro  342x82                    35/42/28044                         135      informa (mudou, como esperado)
cromo           sidebar-lateral                  escuro  342x420                   0/0/143640                          0        ok (zero)                     
cromo           versoes-rodape                   escuro  342x33                    35/47/11286                         145      informa (mudou, como esperado)
cromo           marca-sobre-popover              escuro  342x51                    0/0/17442                           0        ok (zero)                     
cromo           nao-encontrado                   escuro  342x844                   0/0/288648                          0        ok (zero)                     
cromo           (foto inteira)                   escuro  390x5056                  70/89/1971840                       145      informa (foto inteira)        
admin-tabelas   tipos-item-tabela                claro   1392x2616 vs 1392x2606    133301/190632/3641472               255      informa (mudou, como esperado)
admin-tabelas   tipos-item-tabela--selo-1        claro   45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   tipos-item-tabela--selo-2        claro   45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   tipos-item-tabela--selo-3        claro   45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   tipos-item-tabela-vazio          claro   1392x146 vs 1392x162      26823/27969/225504                  255      informa (mudou, como esperado)
admin-tabelas   itens-tabela                     claro   1392x2198                 80/264/3059616                      26       informa (mudou, como esperado)
admin-tabelas   itens-tabela--selo-1             claro   66x20                     0/0/1320                            0        ok (zero)                     
admin-tabelas   itens-tabela--selo-2             claro   45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   itens-tabela--selo-3             claro   66x20                     0/0/1320                            0        ok (zero)                     
admin-tabelas   itens-tabela-vazio               claro   1392x146 vs 1392x162      26847/28039/225504                  255      informa (mudou, como esperado)
admin-tabelas   colaboradores-tabela             claro   1392x1581                 80/232/2200752                      26       informa (mudou, como esperado)
admin-tabelas   colaboradores-tabela--selo-1     claro   45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   colaboradores-tabela--selo-2     claro   52x20                     0/0/1040                            0        ok (zero)                     
admin-tabelas   colaboradores-tabela--selo-3     claro   45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   colaboradores-tabela-vazio       claro   1392x146 vs 1392x162      31460/32938/225504                  255      informa (mudou, como esperado)
admin-tabelas   usuarios-tabela                  claro   1392x3468 vs 1392x3462    112284/168673/4827456               255      informa (mudou, como esperado)
admin-tabelas   auditoria-tabela                 claro   1392x153                  80/232/212976                       26       informa (mudou, como esperado)
admin-tabelas   auditoria-filtro                 claro   1392x32                   108/180/44544                       140      informa (mudou, como esperado)
admin-tabelas   fila-consolidacao                claro   1392x350 vs 1392x348      30536/32931/487200                  255      informa (mudou, como esperado)
admin-tabelas   (foto inteira)                   claro   1440x11799 vs 1440x11829  721606/1307014/17033760             255      informa (foto inteira)        
admin-tabelas   tipos-item-tabela                claro   342x2852 vs 342x2842      60918/88620/975384                  255      informa (mudou, como esperado)
admin-tabelas   tipos-item-tabela--selo-1        claro   45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   tipos-item-tabela--selo-2        claro   45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   tipos-item-tabela--selo-3        claro   45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   tipos-item-tabela-vazio          claro   342x202 vs 342x218        9306/10006/74556                    255      informa (mudou, como esperado)
admin-tabelas   itens-tabela                     claro   342x2610                  80/232/892620                       26       informa (mudou, como esperado)
admin-tabelas   itens-tabela--selo-1             claro   66x20                     0/0/1320                            0        ok (zero)                     
admin-tabelas   itens-tabela--selo-2             claro   45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   itens-tabela--selo-3             claro   66x20                     0/0/1320                            0        ok (zero)                     
admin-tabelas   itens-tabela-vazio               claro   342x202 vs 342x218        9330/10059/74556                    255      informa (mudou, como esperado)
admin-tabelas   colaboradores-tabela             claro   342x1955                  80/232/668610                       26       informa (mudou, como esperado)
admin-tabelas   colaboradores-tabela--selo-1     claro   45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   colaboradores-tabela--selo-2     claro   52x20                     0/0/1040                            0        ok (zero)                     
admin-tabelas   colaboradores-tabela--selo-3     claro   45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   colaboradores-tabela-vazio       claro   342x230 vs 342x246        13850/15026/84132                   255      informa (mudou, como esperado)
admin-tabelas   usuarios-tabela                  claro   342x4160 vs 342x4154      10725/13513/1422720                 255      informa (mudou, como esperado)
admin-tabelas   auditoria-tabela                 claro   342x153                   80/232/52326                        26       informa (mudou, como esperado)
admin-tabelas   auditoria-filtro                 claro   342x32                    108/180/10944                       140      informa (mudou, como esperado)
admin-tabelas   fila-consolidacao                claro   342x694 vs 342x688        23107/25228/237348                  255      informa (mudou, como esperado)
admin-tabelas   (foto inteira)                   claro   390x14053 vs 390x14079    284211/368213/5490810               255      informa (foto inteira)        
admin-tabelas   tipos-item-tabela                escuro  1392x2616 vs 1392x2606    143620/230996/3641472               255      informa (mudou, como esperado)
admin-tabelas   tipos-item-tabela--selo-1        escuro  45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   tipos-item-tabela--selo-2        escuro  45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   tipos-item-tabela--selo-3        escuro  45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   tipos-item-tabela-vazio          escuro  1392x146 vs 1392x162      26800/27942/225504                  255      informa (mudou, como esperado)
admin-tabelas   itens-tabela                     escuro  1392x2198                 76/261/3059616                      24       informa (mudou, como esperado)
admin-tabelas   itens-tabela--selo-1             escuro  66x20                     0/0/1320                            0        ok (zero)                     
admin-tabelas   itens-tabela--selo-2             escuro  45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   itens-tabela--selo-3             escuro  66x20                     0/0/1320                            0        ok (zero)                     
admin-tabelas   itens-tabela-vazio               escuro  1392x146 vs 1392x162      26826/28012/225504                  255      informa (mudou, como esperado)
admin-tabelas   colaboradores-tabela             escuro  1392x1581                 76/232/2200752                      24       informa (mudou, como esperado)
admin-tabelas   colaboradores-tabela--selo-1     escuro  45x20                     0/0/900                             0        ok (zero)                     
admin-tabelas   colaboradores-tabela--selo-2     escuro  52x20                     0/0/1040                            0        ok (zero)                     
admin-tabelas   colaboradores-tabela--selo-3     escuro  45x20                     0/0/900                             0        ok (zero)                     
