⚠ sem par em --depois para admin-importar__claro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para admin-importar__claro__390x844 — pulando (não compara, não reprova).
⚠ sem par em --depois para admin-importar__escuro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para admin-importar__escuro__390x844 — pulando (não compara, não reprova).
⚠ sem par em --depois para admin-dialogos__claro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para admin-dialogos__claro__390x844 — pulando (não compara, não reprova).
⚠ sem par em --depois para admin-dialogos__escuro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para admin-dialogos__escuro__390x844 — pulando (não compara, não reprova).
⚠ sem par em --depois para relatorio__claro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para relatorio__claro__390x844 — pulando (não compara, não reprova).
⚠ sem par em --depois para relatorio__escuro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para relatorio__escuro__390x844 — pulando (não compara, não reprova).
⚠ sem par em --depois para confirmacoes__claro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para confirmacoes__claro__390x844 — pulando (não compara, não reprova).
⚠ sem par em --depois para confirmacoes__escuro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para confirmacoes__escuro__390x844 — pulando (não compara, não reprova).
⚠ sem par em --depois para selos-sucesso__claro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para selos-sucesso__claro__390x844 — pulando (não compara, não reprova).
⚠ sem par em --depois para selos-sucesso__escuro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para selos-sucesso__escuro__390x844 — pulando (não compara, não reprova).
⚠ sem par em --depois para filtros__claro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para filtros__claro__390x844 — pulando (não compara, não reprova).
⚠ sem par em --depois para filtros__escuro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para filtros__escuro__390x844 — pulando (não compara, não reprova).
vitrine        quadro                        tema    tamanho     fora-do-antialias/diferentes/total  maior Δ  veredito                  
-------------  ----------------------------  ------  ----------  ----------------------------------  -------  --------------------------
cromo          login                         claro   1392x900    195/217/1252800                     255      REPROVA (deveria ser zero)
cromo          auth-confirmar                claro   1392x900    195/217/1252800                     255      REPROVA (deveria ser zero)
cromo          app-header                    claro   1392x56     828/900/77952                       255      REPROVA (deveria ser zero)
cromo          viewer-header                 claro   1392x56     156/181/77952                       255      REPROVA (deveria ser zero)
cromo          acesso-form                   claro   1392x900    195/217/1252800                     255      REPROVA (deveria ser zero)
cromo          rodape-sidebar                claro   1392x82     0/0/114144                          0        ok (zero)                 
cromo          sidebar-lateral               claro   1392x420    0/0/584640                          0        ok (zero)                 
cromo          versoes-rodape                claro   1392x33     0/0/45936                           0        ok (zero)                 
cromo          marca-sobre-popover           claro   1392x51     0/0/70992                           0        ok (zero)                 
cromo          nao-encontrado                claro   1392x900    0/0/1252800                         0        ok (zero)                 
cromo          (foto inteira)                claro   1440x5264   1569/1732/7580160                   255      informa (foto inteira)    
cromo          login                         claro   342x844     195/217/288648                      255      REPROVA (deveria ser zero)
cromo          auth-confirmar                claro   342x844     195/217/288648                      255      REPROVA (deveria ser zero)
cromo          app-header                    claro   342x56      278/305/19152                       255      REPROVA (deveria ser zero)
cromo          viewer-header                 claro   342x56      156/181/19152                       255      REPROVA (deveria ser zero)
cromo          acesso-form                   claro   342x844     195/217/288648                      255      REPROVA (deveria ser zero)
cromo          rodape-sidebar                claro   342x82      0/0/28044                           0        ok (zero)                 
cromo          sidebar-lateral               claro   342x420     0/0/143640                          0        ok (zero)                 
cromo          versoes-rodape                claro   342x33      0/0/11286                           0        ok (zero)                 
cromo          marca-sobre-popover           claro   342x51      156/181/17442                       255      REPROVA (deveria ser zero)
cromo          nao-encontrado                claro   342x844     0/0/288648                          0        ok (zero)                 
cromo          (foto inteira)                claro   390x5056    1175/1318/1971840                   255      informa (foto inteira)    
cromo          login                         escuro  1392x900    195/217/1252800                     255      REPROVA (deveria ser zero)
cromo          auth-confirmar                escuro  1392x900    195/217/1252800                     255      REPROVA (deveria ser zero)
cromo          app-header                    escuro  1392x56     828/900/77952                       255      REPROVA (deveria ser zero)
cromo          viewer-header                 escuro  1392x56     156/181/77952                       255      REPROVA (deveria ser zero)
cromo          acesso-form                   escuro  1392x900    195/217/1252800                     255      REPROVA (deveria ser zero)
cromo          rodape-sidebar                escuro  1392x82     0/0/114144                          0        ok (zero)                 
cromo          sidebar-lateral               escuro  1392x420    0/0/584640                          0        ok (zero)                 
cromo          versoes-rodape                escuro  1392x33     0/0/45936                           0        ok (zero)                 
cromo          marca-sobre-popover           escuro  1392x51     0/0/70992                           0        ok (zero)                 
cromo          nao-encontrado                escuro  1392x900    0/0/1252800                         0        ok (zero)                 
cromo          (foto inteira)                escuro  1440x5264   1569/1732/7580160                   255      informa (foto inteira)    
cromo          login                         escuro  342x844     195/217/288648                      255      REPROVA (deveria ser zero)
cromo          auth-confirmar                escuro  342x844     195/217/288648                      255      REPROVA (deveria ser zero)
cromo          app-header                    escuro  342x56      278/305/19152                       255      REPROVA (deveria ser zero)
